Institut,Region,url
Allensbach,Deutschland,https://www.wahlrecht.de/umfragen/allensbach.htm
Allensbach,Deutschland,https://www.wahlrecht.de/umfragen/allensbach/2017.htm
Allensbach,Deutschland,https://www.wahlrecht.de/umfragen/allensbach/2013.htm
Allensbach,Deutschland,https://www.wahlrecht.de/umfragen/allensbach/2009.htm
Allensbach,Deutschland,https://www.wahlrecht.de/umfragen/allensbach/2005.htm
Allensbach,Deutschland,https://www.wahlrecht.de/umfragen/allensbach/2002.htm
Kantar (Emnid),Deutschland,https://www.wahlrecht.de/umfragen/emnid.htm
Kantar (Emnid),Deutschland,https://www.wahlrecht.de/umfragen/emnid/2013.htm
Kantar (Emnid),Deutschland,https://www.wahlrecht.de/umfragen/emnid/2008.htm
Kantar (Emnid),Deutschland,https://www.wahlrecht.de/umfragen/emnid/2007.htm
Kantar (Emnid),Deutschland,https://www.wahlrecht.de/umfragen/emnid/2006.htm
Kantar (Emnid),Deutschland,https://www.wahlrecht.de/umfragen/emnid/2005.htm
Kantar (Emnid),Deutschland,https://www.wahlrecht.de/umfragen/emnid/2004.htm
Kantar (Emnid),Deutschland,https://www.wahlrecht.de/umfragen/emnid/2003.htm
Kantar (Emnid),Deutschland,https://www.wahlrecht.de/umfragen/emnid/2002.htm
Kantar (Emnid),Deutschland,https://www.wahlrecht.de/umfragen/emnid/2001.htm
Kantar (Emnid),Deutschland,https://www.wahlrecht.de/umfragen/emnid/2000.htm
Kantar (Emnid),Deutschland,https://www.wahlrecht.de/umfragen/emnid/1999.htm
Kantar (Emnid),Deutschland,https://www.wahlrecht.de/umfragen/emnid/1998.htm
Forsa,Deutschland,https://www.wahlrecht.de/umfragen/forsa.htm
Forsa,Deutschland,https://www.wahlrecht.de/umfragen/forsa/2013.htm
Forsa,Deutschland,https://www.wahlrecht.de/umfragen/forsa/2008.htm
Forsa,Deutschland,https://www.wahlrecht.de/umfragen/forsa/2007.htm
Forsa,Deutschland,https://www.wahlrecht.de/umfragen/forsa/2006.htm
Forsa,Deutschland,https://www.wahlrecht.de/umfragen/forsa/2005.htm
Forsa,Deutschland,https://www.wahlrecht.de/umfragen/forsa/2004.htm
Forsa,Deutschland,https://www.wahlrecht.de/umfragen/forsa/2003.htm
Forsa,Deutschland,https://www.wahlrecht.de/umfragen/forsa/2002.htm
Forsa,Deutschland,https://www.wahlrecht.de/umfragen/forsa/2001.htm
Forsa,Deutschland,https://www.wahlrecht.de/umfragen/forsa/2000.htm
Forsa,Deutschland,https://www.wahlrecht.de/umfragen/forsa/1999.htm
Forsa,Deutschland,https://www.wahlrecht.de/umfragen/forsa/1998.htm
Politbarometer,Deutschland,https://www.wahlrecht.de/umfragen/politbarometer.htm
Politbarometer,Deutschland,https://www.wahlrecht.de/umfragen/politbarometer/politbarometer-2017.htm
Politbarometer,Deutschland,https://www.wahlrecht.de/umfragen/politbarometer/politbarometer-2013.htm
Politbarometer,Deutschland,https://www.wahlrecht.de/umfragen/politbarometer/politbarometer-2009.htm
Politbarometer,Deutschland,https://www.wahlrecht.de/umfragen/politbarometer/politbarometer-2005.htm
Politbarometer,Deutschland,https://www.wahlrecht.de/umfragen/politbarometer/politbarometer-2002.htm
Politbarometer,Deutschland,https://www.wahlrecht.de/umfragen/politbarometer/politbarometer-1998.htm
GMS,Deutschland,https://www.wahlrecht.de/umfragen/gms.htm
GMS,Deutschland,https://www.wahlrecht.de/umfragen/gms/projektion-2017.htm
GMS,Deutschland,https://www.wahlrecht.de/umfragen/gms/projektion-2013.htm
GMS,Deutschland,https://www.wahlrecht.de/umfragen/gms/projektion-2009.htm
GMS,Deutschland,https://www.wahlrecht.de/umfragen/gms/projektion-2005.htm
Infratest dimap,Deutschland,https://www.wahlrecht.de/umfragen/dimap.htm
Infratest dimap,Deutschland,https://www.wahlrecht.de/umfragen/dimap/2013.htm
Infratest dimap,Deutschland,https://www.wahlrecht.de/umfragen/dimap/2008.htm
Infratest dimap,Deutschland,https://www.wahlrecht.de/umfragen/dimap/2007.htm
Infratest dimap,Deutschland,https://www.wahlrecht.de/umfragen/dimap/2006.htm
Infratest dimap,Deutschland,https://www.wahlrecht.de/umfragen/dimap/2005.htm
Infratest dimap,Deutschland,https://www.wahlrecht.de/umfragen/dimap/2004.htm
Infratest dimap,Deutschland,https://www.wahlrecht.de/umfragen/dimap/2003.htm
Infratest dimap,Deutschland,https://www.wahlrecht.de/umfragen/dimap/2002.htm
Infratest dimap,Deutschland,https://www.wahlrecht.de/umfragen/dimap/2001.htm
Infratest dimap,Deutschland,https://www.wahlrecht.de/umfragen/dimap/2000.htm
Infratest dimap,Deutschland,https://www.wahlrecht.de/umfragen/dimap/1999.htm
Infratest dimap,Deutschland,https://www.wahlrecht.de/umfragen/dimap/1998.htm
INSA / YouGov,Deutschland,https://www.wahlrecht.de/umfragen/insa.htm
YouGov,Deutschland,https://www.wahlrecht.de/umfragen/yougov.htm